segclass,funclass,x,y
Z,7,6331232.007,2053845.764
5,U,6408445.596,1930351.462
M,M,6291233.633,1906004.787
W,W,6251217.112,1925743.238
M,M,6236367.451,2057017.996
M,M,6237664.901,2058464.041
M,M,6237469.078,2057634.329
5,U,6376827.74,1965994.181
Z,7,6389276.069,1864296.778
5,L,6471361.561,1828715.819
5,L,6342586.5,1845152.011
5,L,6342582.994,1844887.012
5,L,6342579.495,1844565.007
6,U,6431175.12,1933192.829
7,7,6397916.16,1975873.38
Z,7,6232373.807,2024371.304
2,6,6600205.481,1872884.684
5,9,6384578.935,2013190.372
5,L,6400460.737,2066758.82
5,L,6283176.031,1993654.785
5,L,6283278.808,1993916.685
M,M,6204066.574,2040782.951
5,L,6375156.857,1817643.564
M,M,6218265.458,2037533.016
5,L,6341472.636,2089825.254
M,M,6203748.032,2040551.05
Z,7,6258600.853,1902549.274
M,M,6160545.122,2110199.918
4,C,6159364.988,2105767.107
M,M,6202629.103,2078513.168
M,M,6236176.145,2055222.149
Z,7,6346167.996,1862853.503
5,L,6367923.867,2088663.467
Z,7,6274313.772,2033637.447
Z,7,6289583.358,1923042.991
Z,7,6272574.732,2039035.613
Z,7,6271780.507,2038984.473
Z,7,6270429.948,2041290.398
5,L,6282612.613,1989114.854
M,M,6219128.274,2095671.669
M,M,6226984.045,2058488.557
5,L,6367831.845,1999643.204
M,M,6177920.255,2089624.226
M,M,6177568.696,2089130.836
6,U,6397825.382,1854836.172
Z,7,6255963.135,2022806.338
5,L,6346961.709,2086280.301
Z,7,6279950.616,2078286.23
Z,7,6279233.86,2078176.393
M,M,6215112.557,2026124.811
M,M,6213733.562,2027706.905
Z,7,6281967.73,2070308.34
5,U,6421750.824,1925401.213
5,U,6426337.657,1902454.482
5,L,6354430.356,1880241.647
5,L,6314130.612,1830715.653
M,M,6294726.444,1829322.206
5,L,6263640.708,1871361.545
5,L,6264051.513,1870833.003
P,P,6274418.011,1864489.988
P,P,6273668.635,1864397.742
P,P,6273952.831,1864045.72
P,P,6273595.93,1863576.483
P,P,6274396.5,1863608.018
5,L,6336122.582,1839553.779
5,L,6335991.624,1839020.562
Z,7,6369318.256,2076175.605
M,M,6256095.539,1837648.111
M,M,6255877.917,1837724.798
Z,7,6256461.143,2052452.615
5,L,6254637.67,2021144.24
M,M,6256335.809,1837733.209
5,L,6300707.154,1846466.0
M,M,6256183.277,1838332.751
M,M,6256254.439,1838260.859
M,M,6256257.997,1838175.979
M,M,6256295.079,1838127.954
M,M,6256293.437,1838062.601
M,M,6256211.493,1837877.997
Z,7,6271084.19,2040971.887
M,M,6257656.873,1831221.291
M,M,6256738.746,1838247.301
M,M,6256739.539,1838173.211
M,M,6256784.0,1837902.0
5,L,6274317.061,1984305.785
M,M,6257190.172,1832366.421
M,M,6256609.237,1831853.255
M,M,6257125.453,1832175.113
Z,U,6264040.55,2032510.074
6,U,6304103.444,1852329.427
Z,7,6271483.572,2091583.008
M,M,6256972.879,1831061.429
M,M,6257030.098,1831037.788
M,M,6256833.0,1837547.992
M,M,6257555.01,1837504.045
M,M,6256834.0,1837440.0
M,M,6257409.941,1837293.168
M,M,6257054.619,1836826.552
5,L,6342922.036,1845567.029
5,L,6342848.223,1845412.615
5,L,6343437.13,1844555.737
5,L,6341833.639,1845375.28
5,L,6342210.897,1844826.438
5,L,6342430.687,1844639.209
P,P,6268233.749,2007797.222
W,W,6251391.156,1925154.971
9,R,6301073.553,1858710.995
Z,7,6255550.211,1940984.957
5,L,6299304.894,1830223.105
M,M,6293922.417,1829525.561
M,M,6293060.496,1828785.514
M,M,6291618.537,1829560.946
M,M,6292477.42,1829007.881
Z,7,6291890.35,2099476.828
M,M,6218155.968,2031288.715
5,L,6499668.157,1855339.174
5,L,6504761.134,1862295.811
Z,U,6453810.034,1938007.641
5,L,6499631.138,1882779.431
5,L,6414171.38,1862227.817
6,U,6309442.505,1840959.355
M,M,6219460.358,2028983.143
Z,7,6296207.178,2033945.181
5,L,6354863.221,1788226.163
P,P,6339774.711,1782166.637
6,U,6308875.635,1839919.801
6,U,6308809.999,1839541.983
M,M,6189513.078,2113814.342
4,C,6177376.862,2069442.501
M,M,6198543.626,2070793.751
M,M,6217300.416,2030105.707
M,M,6205938.315,2038144.237
M,M,6205618.158,2039106.955
M,M,6217850.018,2030162.107
M,M,6214274.278,2024176.129
M,M,6215868.836,2023910.386
M,M,6216967.672,2030885.367
3,D,6271217.35,1981263.668
Z,U,6403431.035,1809732.168
5,U,6406711.559,1928562.05
5,L,6326090.714,2020496.827
M,M,6227364.796,2060657.062
M,M,6230220.647,2058919.63
M,M,6237556.791,2059965.935
M,M,6235793.772,2059344.107
M,M,6229330.0,2058042.222
M,M,6228336.0,2057389.0
W,W,6269149.389,1926568.084
M,M,6212333.074,2070700.456
4,C,6184850.503,2061626.391
M,M,6184905.34,2064842.858
Z,7,6345190.249,2060487.513
M,M,6225452.637,2085792.932
5,L,6249993.0,2020062.0
5,L,6249901.982,2019778.5
Z,7,6337210.083,2031155.952
M,M,6235474.259,2055130.895
5,L,6238501.786,2054758.851
5,L,6293817.7,1866967.795
M,M,6236029.528,2055097.658
M,M,6226889.13,2055064.194
M,M,6238947.977,2054644.361
M,M,6238919.98,2054217.595
M,M,6238529.258,2054564.508
M,M,6224534.774,2053218.65
5,L,6349569.671,1853458.192
5,L,6277478.597,1853271.441
5,L,6265439.346,1875181.076
5,L,6264497.643,1870060.921
5,L,6271500.035,1852229.096
5,L,6270562.682,1845093.074
5,L,6263316.999,1849306.811
Z,7,6311500.608,2029779.606
5,L,6358779.353,2076608.718
Z,7,6366799.54,2076580.996
5,L,6258996.159,1898333.988
4,5,6275139.275,2046094.171
Z,7,6372538.539,2048196.189
5,L,6258371.355,1876502.402
5,L,6265381.434,1869905.71
5,L,6264111.422,1871157.55
5,L,6264402.11,1870968.428
5,L,6265822.209,1874583.643
5,L,6263751.517,1871497.747
M,M,6225002.811,2052708.761
M,M,6223287.937,2051709.736
M,M,6221955.085,2051660.547
M,M,6223688.923,2051629.731
M,M,6156809.334,2087637.262
5,L,6264546.712,1870874.362
7,7,6499761.363,2024151.76
5,L,6450970.297,1996821.169
5,L,6396542.718,1933355.839
5,L,6399018.315,1935774.657
5,L,6298214.856,1954211.584
Z,7,6422104.07,1889128.901
P,P,6340014.742,1971224.13
M,M,6208106.981,2035731.826
M,M,6201668.203,2039768.677
M,M,6250517.814,2077397.423
M,M,6202719.082,2042363.684
M,M,6185208.53,2082978.579
M,M,6184819.702,2083033.32
M,M,6187368.973,2082859.163
Z,7,6288204.445,1964334.852
5,L,6338233.754,1890492.626
5,L,6338233.984,1890649.63
4,C,6413864.01,1883507.142
Z,7,6240855.59,2035196.841
5,L,6283393.736,1862697.693
5,L,6274214.754,1850617.692
M,M,6185539.563,2082983.206
M,M,6187118.239,2082156.535
M,M,6186718.293,2082177.912
M,M,6187508.063,2081932.758
5,L,6319511.441,1891110.261
Z,7,6252284.189,2002440.397
5,L,6290873.364,2002582.819
Z,7,6293994.621,2040318.909
M,M,6214056.811,2045599.783
M,M,6207618.225,2074463.531
5,L,6255473.123,1863422.739
5,L,6251279.957,1884995.438
M,M,6207399.011,2037431.224
M,M,6206045.331,2038260.587
5,L,6308911.884,1823010.332
5,L,6259229.332,1852679.376
5,L,6259348.772,1859255.393
5,L,6259413.459,1859026.094
M,M,6293349.871,1784828.381
Z,7,6346432.133,2036469.454
Z,U,6352081.912,2041270.405
5,L,6316076.109,1818167.891
Z,7,6296895.693,2030807.224
M,M,6206487.618,2037868.185
M,M,6207566.86,2037386.355
M,M,6208737.901,2036828.185
M,M,6208370.021,2036133.932
M,M,6208829.727,2035280.133
M,M,6208753.601,2035587.685
5,L,6270463.843,1980165.355
Z,7,6270479.787,1979931.149
M,M,6206384.883,2039026.237
M,M,6240148.834,2048901.694
Z,7,6328160.501,1845695.002
Z,7,6270198.058,2037804.932
Z,7,6345152.0,1878692.0
P,P,6340432.151,1782160.884
P,P,6300609.919,1838369.002
M,M,6160086.009,2088023.577
5,L,6302686.005,1838033.995
M,M,6219798.039,2050205.221
M,M,6220201.76,2050149.076
M,M,6237302.865,2054278.0
M,M,6235875.016,2053946.509
M,M,6161653.307,2087608.371
M,M,6235653.052,2053149.698
M,M,6234615.815,2052096.8
M,M,6226594.444,2051274.844
5,L,6331017.921,2070795.83
M,M,6160508.982,2099974.572
M,M,6161192.084,2099866.256
P,P,6270461.501,1980372.752
M,M,6234849.238,2052724.433
3,4,6151470.007,2089945.004
Z,7,6292940.195,2028396.45
5,L,6311942.134,2006126.182
Z,U,6480610.926,2004417.68
5,L,6273971.994,1991530.885
5,L,6258266.138,1876486.774
5,L,6264622.928,1870191.302
5,L,6265410.699,1870203.699
5,L,6264490.809,1869977.689
5,L,6517222.512,2041483.964
Z,7,6267351.982,1894687.797
5,L,6264121.929,1871401.841
5,L,6264279.589,1869610.706
5,L,6263837.162,1871335.894
5,L,6264770.0,1871272.07
5,L,6264681.932,1870984.864
5,L,6265836.8,1874951.091
5,L,6266003.334,1874853.622
5,L,6276737.595,1865117.466
5,L,6303666.564,1973086.085
M,M,6296587.395,1891995.055
5,L,6350906.944,1854183.017
M,M,6300367.917,1895726.9
Z,7,6275447.548,1941679.806
5,L,6351408.741,1855034.189
Z,7,6345626.504,1878985.989
5,L,6356190.928,1884056.602
Z,7,6290253.037,2025610.274
5,L,6320192.751,1999244.265
Z,7,6288547.365,2030195.687
Z,7,6288576.107,2030048.008
5,9,6369932.808,2068786.818
Z,7,6273220.972,2038493.527
5,L,6350744.903,1853160.765
5,9,6369696.813,2069144.099
5,L,6320128.757,1992953.07
5,L,6317074.947,1994477.472
5,L,6313267.064,1946414.919
M,M,6190283.812,2082638.3
5,L,6317451.304,1994572.362
5,L,6279979.999,2085744.5
M,M,6201546.772,2079895.944
5,L,6278875.999,2085739.5
M,M,6208549.542,2072146.578
5,L,6446798.258,2044813.885
Z,7,6312572.774,2022076.333
Z,7,6282806.468,2094275.068
M,M,6210436.51,2026696.509
M,M,6211317.654,2026941.431
M,M,6213906.026,2027290.075
M,M,6238100.763,2055406.826
5,,6283114.245,2095324.654
M,M,6211799.901,2028783.989
M,M,6213975.029,2030042.091
5,L,6259268.055,1859315.484
P,L,6278166.826,1845862.047
5,L,6257391.717,1841586.578
M,M,6236250.538,2054973.057
M,M,6238168.778,2054912.787
M,M,6235409.864,2054708.535
M,M,6224131.916,2052854.229
M,M,6223825.014,2052758.474
Z,7,6282988.709,2094192.766
Z,7,6354324.791,1952484.865
Z,7,6349269.009,1953791.187
5,L,6360095.359,1858595.646
Z,7,6282797.528,2084131.139
Z,7,6308069.959,1845888.499
4,C,6429264.013,1884834.056
7,7,6307925.048,1845611.28
H,7,6307914.559,1845414.544
H,7,6307913.25,1845065.895
4,5,6332001.6,1853581.8
5,L,6494078.282,1837628.864
5,L,6256728.132,1889100.223
P,P,6320047.591,1986960.512
M,M,6218946.037,2030517.748
5,L,6349013.055,1789623.029
5,L,6349650.41,1789081.549
5,L,6353153.49,1781570.325
P,P,6353060.714,1782120.548
5,L,6349246.702,2077119.507
5,L,6298506.449,2022227.687
5,L,6287288.338,1851025.302
9,R,6301231.885,1858266.936
Z,P,6278413.889,2014618.443
5,L,6301465.076,1861933.034
5,L,6285796.6,2015271.997
6,U,6411085.33,1938531.508
6,U,6481154.953,1921658.064
5,L,6317476.333,1979149.923
Z,U,6434018.214,1793325.003
5,L,6270337.708,1852862.699
5,L,6330974.501,1984776.35
5,L,6331231.316,1984799.984
5,L,6337951.057,2092704.891
5,L,6316851.972,1972207.501
5,L,6306217.08,1858146.106
5,L,6350158.417,2080098.034
M,M,6231517.202,2059912.129
5,L,6296178.898,1920059.523
M,M,6231939.865,2060772.881
5,U,6413424.62,1923848.545
5,L,6255200.422,1843149.17
Z,U,6419027.301,1944056.062
5,L,6331456.182,1984631.45
M,M,6239760.21,2060756.51
M,M,6237507.099,2063429.099
5,L,6321527.996,1850589.492
Z,7,6323058.669,1997769.095
Z,7,6329169.792,1986994.872
Z,7,6352105.199,1948220.042
5,L,6295756.14,1901823.494
5,L,6353010.492,1880354.877
5,L,6361328.089,1881801.564
6,U,6251945.033,1933372.723
5,L,6248003.791,1876933.055
5,L,6259421.236,1859216.563
5,L,6318718.633,1979037.662
H,L,6281607.447,1870565.438
5,L,6451390.042,1972691.779
5,L,6251356.0,1938732.324
Z,7,6394193.818,1877602.001
2,6,6306058.753,2052300.341
5,L,6285639.503,1868670.084
5,L,6272707.053,1885776.971
5,L,6493774.185,1884031.277
5,L,6288362.751,1858137.681
5,L,6493097.574,1876183.57
5,L,6269703.351,1869868.026
6,U,6247839.585,1946755.142
6,U,6247747.558,1946604.549
5,L,6341305.006,1851074.988
5,L,6274614.121,1852163.158
5,L,6331281.468,2072135.97
4,5,6282990.097,2077634.047
P,P,6304444.616,2042808.86
5,L,6258258.523,1898556.108
9,R,6285560.191,1842642.164
9,R,6285463.797,1842529.684
P,P,6341261.089,2059984.493
Z,7,6369158.766,1919784.656
5,L,6335767.059,1809008.302
5,L,6482246.013,1826894.959
4,3,6287624.996,2094098.002
Z,7,6283276.628,2060077.193
7,7,6610124.748,1978745.654
3,4,6350972.584,1870000.435
Z,7,6278802.107,2078571.915
Z,7,6293943.711,2079871.774
5,L,6289812.301,2093936.694
5,L,6289774.338,2094447.413
2,6,6283766.491,2068222.345
9,R,6286347.319,1843112.842
Z,7,6260086.31,1950147.462
Z,7,6266528.116,1945417.912
5,L,6371373.297,1931795.662
5,L,6291516.642,1844366.948
5,L,6300907.998,1862678.495
Z,7,6335801.129,2023230.25
Z,7,6273452.488,2039671.976
Z,7,6271276.033,2039839.055
Z,7,6271937.595,2039916.022
Z,7,6270859.751,2040413.048
5,L,6264711.877,1994119.324
Z,U,6393442.636,1932084.89
5,L,6264612.538,1993992.749
5,L,6329914.298,1846804.757
5,L,6292051.308,1874601.462
M,M,6166559.581,2099896.973
5,L,6355191.999,1869850.503
3,4,6152081.359,2090310.701
M,M,6212695.961,2043640.397
M,M,6207639.386,2070475.377
M,M,6202574.895,2065124.085
5,L,6287032.173,1873298.669
Z,7,6261038.086,1877192.528
M,M,6241206.65,2063801.988
Z,7,6283406.285,2060342.662
5,L,6414582.293,2059566.165
5,L,6259630.917,1857949.257
Z,7,6258932.169,2074731.063
Z,U,6384996.423,2083508.22
M,M,6235263.894,2058722.334
Z,7,6283093.845,2060212.071
5,L,6517875.71,2058802.042
9,R,6285528.791,1842610.773
5,L,6327855.51,1868631.984
5,L,6297773.656,1862880.855
5,L,6403821.983,1805811.108
M,M,6231298.462,2060204.077
M,M,6237680.963,2061921.443
M,M,6222191.077,2051938.542
P,P,6253489.377,2033766.31
6,U,6351423.214,1815056.945
M,M,6222888.997,2051833.006
P,P,6253848.424,2034309.885
7,7,6337791.38,2064874.447
5,L,6263796.267,1871622.57
5,L,6263584.371,1871414.652
5,L,6263630.012,1870673.925
5,L,6279191.997,2085741.0
M,M,6227382.467,2060930.546
M,M,6227813.861,2055786.335
5,L,6294970.321,1848574.309
Z,U,6436327.923,1801343.315
6,U,6347843.885,1930724.714
5,L,6298879.0,1830212.0
5,L,6328431.956,1868551.868
6,U,6351303.868,1930478.682
Z,U,6454836.87,1913686.211
5,L,6319607.926,2014929.347
5,L,6264417.992,1871731.008
M,M,6162172.499,2100149.792
3,4,6158050.486,2100580.109
5,L,6306327.923,1861198.132
3,4,6154665.245,2095709.492
5,L,6251789.349,1926753.737
Z,7,6484178.859,1820452.998
M,M,6240684.801,2048111.097
5,L,6252312.842,2054701.245
Z,7,6329409.789,1810123.199
Z,7,6329298.265,1810244.759
Z,7,6271884.63,2033009.771
P,P,6263819.408,2003695.521
P,P,6264280.549,2003359.813
P,P,6264439.227,2003247.502
Z,7,6403016.422,1805107.434
5,L,6318394.422,1860022.926
5,L,6499001.419,1847411.752
5,L,6349752.267,2079709.321
5,L,6317046.909,1913905.777
Z,7,6337155.725,2030533.695
5,L,6298563.812,1875758.317
Z,L,6262286.241,2085981.251
5,L,6553309.477,2013271.298
5,L,6554078.816,2013171.959
5,L,6290214.0,1847193.5
M,M,6237521.953,2055292.634
M,M,6238395.82,2054831.756
M,M,6239044.613,2053712.38
M,M,6208557.758,2035224.935
5,L,6332471.613,2072200.759
M,M,6208094.231,2036156.309
M,M,6202002.68,2038937.395
M,M,6212619.006,2043502.218
M,M,6212714.212,2043778.533
5,L,6281591.564,2070295.806
Z,7,6378134.629,1835668.349
5,L,6377812.996,1835257.855
5,L,6300820.115,1995944.63
5,L,6282835.06,2064746.446
Z,7,6329244.671,1810512.371
Z,7,6329227.836,1810349.853
M,M,6154744.073,2086494.651
5,L,6347872.261,2075307.973
5,L,6331213.304,2047101.257
Z,7,6329209.692,1810429.292
5,L,6329574.792,1810757.076
5,L,6329696.522,1810546.881
5,L,6329681.981,1810538.097
5,L,6362180.245,2075484.062
M,M,6224888.628,2053412.296
M,M,6224889.314,2052127.9
5,L,6488254.66,2001014.769
Z,7,6283316.723,2094502.883
5,L,6322797.982,1799259.0
M,M,6230054.138,2055625.602
5,L,6469482.942,1968732.485
5,L,6425814.959,1929782.086
M,M,6170233.242,2090593.473
M,M,6171384.696,2090514.142
M,M,6173379.703,2090376.986
M,M,6193819.186,2057203.74
M,M,6221108.114,2058208.297
5,L,6309212.725,1991316.585
6,U,6364429.636,1983562.033
M,M,6193708.396,2056413.934
M,M,6220527.794,2057838.574
Z,7,6345220.052,2044012.999
M,M,6226274.623,2060972.964
M,M,6233519.03,2066800.182
Z,7,6345393.027,2043477.431
5,L,6420098.124,1944584.395
6,U,6396591.946,1923550.036
Z,7,6257891.465,1952492.581
5,L,6275518.511,1920981.965
5,L,6275757.013,1921503.957
5,L,6275519.514,1921995.53
5,L,6330051.014,1918885.69
6,U,6364813.146,1984762.476
5,L,6285480.428,1846731.21
5,L,6285778.17,1846497.07
Z,U,6368552.188,1985614.787
Z,7,6279318.588,2078628.384
Z,7,6279544.444,2078488.244
5,L,6491044.506,1979797.926
5,L,6427874.358,1887661.924
Z,7,6283147.663,1955920.261
M,M,6241061.043,2047262.835
5,L,6428277.258,1889733.771
5,L,6428552.46,1888370.652
4,C,6413899.708,1883847.516
Z,7,6310183.439,1819020.447
Z,7,6281763.889,2070237.281
M,M,6237483.22,2064906.037
M,M,6238883.857,2064435.926
M,M,6235198.42,2071467.044
5,L,6414517.981,1954845.287
5,L,6459153.578,1891716.948
5,L,6479226.364,1879027.896
5,L,6377552.921,1838745.515
Z,7,6333794.733,2040940.917
M,M,6167795.276,2099829.948
M,M,6194049.658,2056678.072
5,L,6297332.677,1916240.173
Z,7,6255949.218,2003183.836
5,L,6326334.386,1817292.637
Z,7,6288789.764,2027671.708
2,6,6576481.268,1888740.323
2,6,6583355.983,1882847.437
5,L,6287371.987,2029339.0
M,M,6160546.252,2087385.429
M,M,6160447.279,2087854.119
M,M,6160140.521,2087760.938
Z,U,6390568.517,1969334.26
5,L,6433629.864,2074204.927
M,M,6160015.907,2087267.958
M,M,6235011.046,2051884.518
5,L,6247656.966,1942006.53
5,L,6266331.717,2030249.161
2,6,6268251.576,1992783.765
Z,L,6326472.764,1883082.18
Z,7,6326356.414,1882916.872
5,L,6301810.066,1988763.2
5,L,6443100.944,2068223.648
Z,U,6409697.457,1874075.639
5,L,6302026.318,1994464.865
Z,7,6334350.459,2038344.201
5,L,6329852.319,1810942.638
Z,7,6326787.883,1883724.841
5,U,6283228.785,2028080.87
M,M,6226291.307,2054249.993
4,2,6325983.833,1809861.389
5,U,6381844.078,1895289.789
5,L,6301766.826,1994617.022
5,L,6301546.124,1995689.441
5,L,6301467.437,1995483.633
5,L,6301398.878,1996113.201
Z,7,6362715.598,1971049.275
5,L,6329813.095,1814391.34
Z,7,6291537.929,1990179.433
5,L,6255293.0,2002709.0
5,L,6251902.385,1991188.611
5,L,6321020.995,1886178.926
Z,7,6345420.869,1948796.727
5,U,6388855.984,2002611.369
5,L,6517682.893,2064726.628
5,L,6252291.421,1991562.246
5,L,6253046.826,1991555.745
M,M,6233532.154,2065432.2
M,M,6232915.307,2062058.579
M,M,6174329.511,2090214.024
M,M,6220325.357,2050297.124
M,M,6236748.594,2054368.545
M,M,6237030.522,2054322.496
5,L,6300021.512,1989525.025
M,M,6234261.032,2053389.257
5,L,6517852.956,2062126.003
Z,7,6316584.076,1810092.581
M,M,6209258.117,2027426.872
M,M,6209781.207,2026849.271
M,M,6210612.437,2026187.449
M,M,6211372.481,2026580.524
M,M,6211541.614,2026496.093
5,L,6307486.687,1852392.585
Z,7,6282195.152,2069658.521
Z,7,6265960.0,2088439.979
Z,7,6282555.289,2059854.648
Z,7,6283404.722,2059900.573
Z,7,6282398.126,2059525.653
Z,7,6282407.674,2059982.113
Z,7,6282720.222,2059740.631
Z,7,6282719.765,2059505.648
Z,7,6258193.056,2075288.833
5,L,6325145.012,2044416.67
Z,7,6351878.018,1948477.67
5,L,6326019.209,2020142.201
5,L,6516252.788,2067279.009
5,L,6320489.458,1886386.989
Z,7,6321949.78,1884847.443
5,U,6420308.357,1922444.283
P,P,6334433.794,1884658.246
5,L,6251976.003,2013132.5
5,L,6490855.448,1950346.715
Z,7,6370428.097,1921593.326
5,L,6343424.202,1867948.335
5,L,6299907.934,1989288.862
5,L,6298316.329,1980151.648
5,U,6352377.998,1959034.0
6,U,6364896.802,1981665.091
5,L,6239995.871,2015249.693
Z,7,6258037.8,1922809.192
Z,7,6257893.266,1922810.177
4,2,6297927.683,1980396.513
5,U,6406370.483,1926067.622
5,9,6392728.102,1893209.454
4,2,6297724.264,1980587.232
5,L,6297625.073,1980509.998
5,L,6342857.762,1845887.217
5,L,6313048.72,1989523.858
5,U,6407358.312,1929580.276
Z,7,6257726.157,1923591.249
Z,7,6283448.472,2088550.783
5,L,6238305.994,2014286.512
5,L,6238343.993,2014286.5
5,L,6422736.65,1942670.11
Z,7,6340758.796,1820951.28
5,L,6301001.671,1995972.337
Z,7,6295400.7,2038629.494
5,L,6239876.105,2015382.127
Z,7,6320311.364,2021951.961
M,M,6206581.044,2038601.134
M,M,6207283.349,2038506.935
M,M,6206335.326,2037543.452
P,P,6248380.896,1876371.547
P,P,6247284.249,1877627.52
P,P,6247182.794,1878039.416
P,P,6247275.534,1878180.981
P,P,6252651.338,1852034.246
P,P,6254387.985,1862291.014
P,P,6249554.412,1888722.414
P,P,6248767.795,1888377.24
5,L,6300699.868,1996334.477
5,L,6301122.771,1995518.214
5,L,6301192.003,1996055.101
Z,7,6322238.1,1884587.153
5,L,6322540.208,1884617.927
5,L,6322512.244,1884470.509
5,L,6239315.994,2011484.013
M,M,6206673.614,2036977.464
M,M,6206829.456,2036736.303
M,M,6207143.975,2036797.203
M,M,6207800.027,2036844.855
5,L,6579775.873,1896576.169
Z,7,6247369.831,2010702.954
5,L,6583915.506,1898584.861
H,L,6308726.514,1845793.216
Z,7,6318586.04,1797548.567
2,6,6586991.674,1881065.666
Z,7,6247441.596,2010511.74
M,M,6186496.102,2083023.123
M,M,6185308.29,2082782.943
5,L,6377009.166,1810629.66
5,L,6281267.197,1997022.914
5,L,6442242.302,2065054.145
3,4,6225295.818,2003368.219
M,M,6211881.059,2028789.924
Z,7,6292350.045,1792982.022
5,L,6289829.467,2000790.591
5,L,6256230.454,2017055.965
5,L,6289433.496,2000483.374
5,L,6227622.986,2011071.135
5,L,6335251.019,1890770.022
Z,7,6294420.367,2069734.062
P,P,6254125.616,1933466.031
P,P,6312615.076,1914494.619
Z,7,6320623.202,1884199.223
P,P,6319957.125,1883934.119
Z,7,6321240.743,1884019.646
5,L,6300926.37,1996332.957
Z,7,6254164.627,2017044.885
P,P,6277542.671,1855910.294
P,P,6284889.0,1852083.0
Z,U,6457736.422,1905136.475
Z,U,6457487.652,1911379.685
Z,U,6451607.581,1910629.96
Z,U,6453953.985,1907629.126
5,L,6477417.457,1878488.573
P,P,6331468.097,1884785.461
P,P,6331469.236,1884732.991
P,P,6245490.593,1972529.823
Z,U,6447956.636,1790064.059
5,L,6244811.732,2015610.96
7,7,6442204.991,1893777.494
Z,7,6327516.499,1883420.971
Z,7,6327177.937,1883556.045
Z,7,6237163.034,2015383.01
Z,L,6326860.468,1883329.132
Z,7,6335813.762,2038753.031
P,P,6306493.725,1991521.079
P,P,6306529.377,1991421.631
P,P,6306565.103,1991319.035
Z,7,6346689.112,2038261.27
5,L,6312315.487,1990203.798
Z,7,6336061.197,2040343.586
Z,7,6271840.127,2003759.205
3,6,6327931.942,1854411.961
5,L,6313543.336,1989796.312
Z,7,6349490.438,1851194.527
7,7,6441516.0,1811734.653
5,L,6299272.713,1983882.448
Z,7,6236156.93,2012088.236
Z,7,6259206.419,1922118.308
5,L,6260173.072,2015141.379
5,L,6260199.156,2015187.983
3,4,6259998.123,2014866.939
4,C,6260236.376,2015081.213
5,L,6500589.188,1903619.274
5,L,6501289.924,1900620.133
M,M,6208411.686,2035925.717
M,M,6218918.879,2049862.273
5,L,6255183.381,2011258.026
6,U,6344471.477,1797753.323
5,L,6255478.309,2011191.929
Z,7,6329338.186,1810561.841
P,P,6244768.814,1971896.023
5,L,6242879.478,1975769.266
4,C,6323074.275,1885233.556
5,L,6300490.231,1983544.385
Z,7,6237230.828,1974513.3
5,L,6338258.0,1882699.0
5,L,6254520.346,2004679.055
5,L,6255408.618,2004453.954
3,4,6429721.819,1884478.236
Z,7,6236508.796,2012162.474
Z,7,6236372.887,2012232.724
Z,7,6236807.41,2012160.474
Z,7,6236652.005,2012155.756
5,L,6355301.994,1895530.908
P,P,6314851.414,1914258.342
P,P,6315160.478,1914336.547
Z,7,6316695.741,1809813.665
P,P,6303620.449,1988204.642
5,L,6301002.479,1992654.654
5,L,6301620.294,1994449.416
5,L,6301404.825,1995608.892
5,L,6301273.737,1995530.32
5,L,6301333.102,1995311.297
P,P,6330388.606,1783440.961
P,P,6331287.224,1784729.107
P,P,6302781.0,1796079.0
P,P,6302298.987,1796234.994
5,L,6342842.752,1810903.034
5,L,6301572.938,1995991.127
5,L,6301341.172,1995742.404
5,L,6274723.527,1934641.066
6,U,6538217.417,1873713.179
P,P,6302618.981,1796230.5
P,P,6302414.984,1795932.995
Z,7,6315081.285,1809227.694
Z,7,6277341.25,1932187.149
Z,7,6236964.688,2012253.755
Z,7,6236846.617,2012066.356
Z,7,6236705.215,2012053.958
Z,7,6236503.395,2012046.683
Z,7,6236353.367,2012082.773
5,L,6255453.156,2013809.856
M,M,6191906.155,2055601.861
5,L,6313116.896,1839300.11
5,L,6297989.535,1953972.558
5,L,6297778.314,1953672.18
M,M,6245105.771,2073576.35
Z,U,6237426.263,2102951.652
M,M,6165040.494,2087599.298
5,L,6373585.366,1876834.944
P,P,6298376.968,1896599.48
P,P,6298665.817,1895291.992
Z,U,6328413.946,2049941.631
Z,7,6283107.367,2094668.438
Z,7,6338994.015,1843739.032
5,L,6337035.637,1846144.121
5,L,6329633.519,1844905.075
Z,7,6349720.997,1851189.0
Z,7,6348980.061,1850780.951
Z,7,6349246.701,1851191.483
Z,7,6349012.826,1851076.423
Z,7,6287429.806,2031326.863
M,M,6211603.019,2025738.288
M,M,6208831.529,2024865.234
M,M,6210662.44,2023569.96
M,M,6211717.473,2025261.29
5,L,6325575.155,1799994.893
5,L,6316968.295,1818484.083
M,M,6212041.836,2022494.412
M,M,6215148.217,2025017.563
M,M,6210630.785,2026418.752
M,M,6211126.023,2027040.443
M,M,6208177.209,2071451.89
M,M,6234239.738,2071629.991
M,M,6233931.645,2071458.869
M,M,6201593.252,2064844.261
4,C,6185506.767,2060550.314
Z,7,6413980.547,2013523.15
M,M,6229876.63,2055503.09
M,M,6220907.362,2058565.002
M,M,6221258.598,2057940.095
M,M,6237042.626,2055358.472
