segclass,funclass,x,y
A,A,6291191.913,1950118.491
A,A,6291123.686,1950020.039
5,U,6484223.014,1913803.387
5,U,6509207.586,1894798.695
5,L,6246637.253,1961828.687
A,A,6291054.039,1949922.223
A,A,6291205.589,1949816.815
A,A,6291504.745,1950411.511
A,A,6291464.192,1950296.448
A,A,6291386.628,1950201.774
A,A,6291346.293,1950090.8
A,A,6291297.641,1949976.938
5,L,6291857.301,1951473.461
5,U,6485230.37,1913332.991
5,L,6292306.814,1951030.419
5,L,6291316.333,1951638.989
6,U,6471331.371,1877319.556
5,U,6485170.855,1912629.747
Z,7,6291086.932,1951483.858
7,7,6291099.778,1951331.881
Z,7,6291172.883,1951180.07
Z,7,6291565.425,1950976.319
Z,7,6291650.901,1951053.221
Z,7,6291464.94,1950778.72
Z,7,6291347.552,1950540.802
5,L,6481957.914,1896893.558
Z,U,6479617.548,1898052.07
P,P,6291314.067,1952487.571
A,A,6291146.805,1951594.51
A,A,6291171.655,1951426.022
5,U,6483015.135,1908308.394
5,9,6484909.056,1904750.218
A,A,6291260.955,1951408.763
Z,7,6291317.004,1989853.416
Z,7,6291665.26,1951179.34
5,U,6483486.97,1916587.53
5,9,6483673.437,1903380.502
Z,7,6291233.175,1950485.329
Z,7,6291134.989,1950389.649
Z,7,6291075.323,1950266.255
Z,7,6291027.747,1950152.99
Z,7,6290981.571,1950043.297
Z,7,6291464.563,1950513.768
P,P,6357879.208,1873971.878
5,L,6537635.096,1847190.003
5,L,6265505.159,1983308.336
P,P,6291749.0,1985869.5
5,U,6535396.861,1852299.287
P,P,6252593.977,1849740.487
Z,7,6263228.81,1984252.604
5,L,6264133.831,1869599.706
5,L,6231270.619,2030524.871
5,L,6231237.458,2030227.996
5,L,6231483.68,2030272.971
Z,7,6263239.412,1984539.408
Z,7,6263238.373,1984794.646
Z,7,6264180.608,1984432.419
Z,7,6263741.195,1984515.919
Z,7,6263879.232,1984510.82
Z,7,6264017.22,1984505.722
Z,7,6264088.124,1984555.138
Z,7,6264085.125,1984473.984
Z,7,6264081.949,1984388.042
5,L,6231234.5,2029757.994
2,6,6486945.461,1855511.384
5,L,6253061.918,1937477.381
5,L,6599172.376,1810948.407
P,P,6252558.297,1849466.191
5,L,6297781.884,1862800.095
5,L,6231171.999,2029568.496
6,U,6423340.365,1859102.489
Z,7,6273487.915,1930341.949
Z,7,6274234.746,1930055.286
W,W,6251826.482,1923471.167
W,W,6340969.425,1885519.868
W,W,6299665.055,1790662.794
5,L,6320849.542,1807630.422
5,L,6380797.839,2076729.157
Z,7,6302526.387,2100844.801
5,L,6353803.652,1879059.001
5,L,6354428.094,1879154.0
5,L,6354194.702,1879056.0
5,L,6321316.45,1806293.636
5,L,6354808.717,1879149.995
5,L,6321529.625,1807244.886
5,L,6261867.192,1985795.899
M,M,6256255.514,1838139.101
5,L,6264566.494,1870611.997
P,P,6252608.781,1849879.919
W,W,6275705.584,1921284.566
Z,7,6263720.492,1984195.921
Z,7,6264148.803,1984328.703
Z,7,6264014.372,1984185.06
Z,7,6263867.472,1984190.489
Z,7,6263951.074,1984584.217
Z,7,6263804.349,1984352.931
